ID, Ano Nascimento, Escolaridade, Estado Civil, Renda Anual, Vinhos, Carnes, Compras em Sites, Compras em Lojas Físicas
796, 1965, 2n Cycle, Divorced, 60161.0, 584, 44, 3, 4
2246, 1965, 2n Cycle, Married, 46891.0, 43, 12, 1, 1
2223, 1965, 2n Cycle, Divorced, 64176.0, 1215, 33, 8, 9
4767, 1965, 2n Cycle, Married, 70924.0, 635, 114, 1, 6
7010, 1965, 2n Cycle, Married, 70924.0, 635, 114, 1, 6
1491, 1965, 2n Cycle, Together, 71488.0, 162, 33, 2, 4
7725, 1965, 2n Cycle, Married, 76800.0, 173, 26, 1, 4
20, 1965, 2n Cycle, Married, 46891.0, 43, 12, 1, 1
4947, 1966, 2n Cycle, Single, 89572.0, 606, 24, 1, 7
5081, 1967, 2n Cycle, Together, 47821.0, 9, 0, 1, 0
5234, 1967, 2n Cycle, Together, 30753.0, 12, 5, 2, 1
238, 1967, 2n Cycle, Together, 67309.0, 515, 47, 15, 6
6116, 1968, 2n Cycle, Married, 48985.0, 19, 13, 1, 1
2516, 1969, 2n Cycle, Married, 46831.0, 22, 2, 2, 2
9672, 1970, 2n Cycle, Married, 23162.0, 8, 3, 3, 1
10065, 1970, 2n Cycle, Married, 15315.0, 7, 4, 2, 0
5740, 1970, 2n Cycle, Divorced, 25959.0, 4, 2, 2, 2
5156, 1970, 2n Cycle, Married, 62466.0, 129, 129, 5, 3
10681, 1970, 2n Cycle, Married, 62466.0, 129, 129, 5, 3
8420, 1970, 2n Cycle, Married, 15315.0, 7, 4, 2, 0
3968, 1970, 2n Cycle, Divorced, 65706.0, 918, 10, 1, 3
8036, 1971, 2n Cycle, Together, 26850.0, 31, 1, 4, 1
8204, 1971, 2n Cycle, Married, 78041.0, 482, 35, 1, 4
1890, 1971, 2n Cycle, Together, 42033.0, 11, 1, 1, 0
8360, 1971, 2n Cycle, Married, 54690.0, 111, 16, 3, 1
9516, 1971, 2n Cycle, Divorced, 49118.0, 620, 54, 2, 7
7426, 1971, 2n Cycle, Married, 54690.0, 111, 16, 3, 1
7000, 1972, 2n Cycle, Single, 65704.0, 279, 172, 1, 10
7798, 1972, 2n Cycle, Together, 46344.0, 233, 20, 4, 1
3283, 1972, 2n Cycle, Married, 70932.0, 200, 193, 2, 2
9850, 1972, 2n Cycle, Married, 24884.0, 3, 6, 1, 0
1378, 1972, 2n Cycle, Together, 50334.0, 284, 16, 6, 4
4937, 1973, 2n Cycle, Married, 46094.0, 12, 2, 1, 0
7628, 1973, 2n Cycle, Married, 43050.0, 30, 5, 2, 0
3310, 1973, 2n Cycle, Married, 35688.0, 73, 3, 7, 1
1927, 1973, 2n Cycle, Together, 69401.0, 399, 27, 4, 4
5346, 1973, 2n Cycle, Married, 23559.0, 25, 5, 3, 0
10033, 1973, 2n Cycle, Divorced, 31163.0, 2, 3, 1, 0
5751, 1973, 2n Cycle, Divorced, 31163.0, 2, 3, 1, 0
5885, 1973, 2n Cycle, Married, 35688.0, 73, 3, 7, 1
5231, 1974, 2n Cycle, Married, 45894.0, 27, 2, 1, 0
3363, 1974, 2n Cycle, Married, 20130.0, 0, 6, 1, 0
2106, 1974, 2n Cycle, Married, 20130.0, 0, 6, 1, 0
4741, 1974, 2n Cycle, Married, 65463.0, 391, 32, 2, 2
7613, 1974, 2n Cycle, Together, 49669.0, 166, 5, 2, 1
89, 1975, 2n Cycle, Married, 22212.0, 5, 9, 2, 0
6504, 1975, 2n Cycle, Together, 19789.0, 2, 5, 3, 1
2882, 1975, 2n Cycle, Divorced, 67893.0, 711, 28, 2, 2
702, 1975, 2n Cycle, Widow, 47682.0, 162, 61, 4, 3
7235, 1975, 2n Cycle, Married, 17003.0, 2, 5, 3, 0
5289, 1975, 2n Cycle, Single, 41658.0, 8, 4, 2, 1
4102, 1975, 2n Cycle, Married, 37284.0, 11, 1, 1, 0
7706, 1975, 2n Cycle, Together, 46772.0, 350, 104, 6, 8
4120, 1975, 2n Cycle, Single, 49514.0, 88, 39, 2, 1
6050, 1975, 2n Cycle, Married, 57036.0, 1171, 43, 4, 3
1403, 1975, 2n Cycle, Together, 34984.0, 8, 4, 2, 0
10241, 1975, 2n Cycle, Divorced, 11448.0, 0, 0, 1, 0
2217, 1975, 2n Cycle, Married, 37284.0, 11, 1, 1, 0
10401, 1976, 2n Cycle, Together, 26326.0, 1, 0, 1, 0
9305, 1976, 2n Cycle, Single, 79689.0, 311, 26, 1, 9
10067, 1976, 2n Cycle, Together, 25176.0, 4, 0, 1, 0
577, 1976, 2n Cycle, Together, 26907.0, 9, 1, 2, 0
8370, 1976, 2n Cycle, Together, 75484.0, 378, 97, 2, 3
8702, 1976, 2n Cycle, Together, 26907.0, 9, 1, 2, 0
10755, 1976, 2n Cycle, Married, 23718.0, 6, 3, 3, 1
3276, 1976, 2n Cycle, Together, 36301.0, 11, 12, 1, 0
3665, 1977, 2n Cycle, Together, 25315.0, 1, 9, 3, 0
10507, 1977, 2n Cycle, Divorced, 59601.0, 691, 7, 4, 2
2546, 1977, 2n Cycle, Single, 31878.0, 23, 4, 1, 0
2186, 1977, 2n Cycle, Together, 82326.0, 938, 142, 1, 10
3865, 1977, 2n Cycle, Together, 20981.0, 2, 12, 1, 1
5263, 1977, 2n Cycle, Married, 31056.0, 5, 10, 1, 0
3270, 1978, 2n Cycle, Together, 17117.0, 12, 23, 4, 1
3870, 1978, 2n Cycle, Together, 63855.0, 359, 35, 1, 3
1440, 1978, 2n Cycle, Together, 52513.0, 367, 17, 2, 5
1773, 1978, 2n Cycle, Married, 12393.0, 5, 6, 1, 0
7761, 1978, 2n Cycle, Together, 38702.0, 13, 11, 2, 0
7264, 1978, 2n Cycle, Single, 52195.0, 12, 0, 1, 0
8181, 1978, 2n Cycle, Single, 38593.0, 51, 12, 3, 1
2320, 1978, 2n Cycle, Married, 47025.0, 508, 11, 5, 1
4066, 1978, 2n Cycle, Divorced, 21282.0, 1, 5, 2, 1
367, 1978, 2n Cycle, Married, 36550.0, 47, 90, 5, 1
6919, 1978, 2n Cycle, Married, 26224.0, 4, 7, 3, 1
7034, 1978, 2n Cycle, Married, 25804.0, 8, 7, 2, 0
10708, 1978, 2n Cycle, Single, 36975.0, 10, 6, 1, 0
10659, 1979, 2n Cycle, Together, 7500.0, 2, 8, 4, 2
9369, 1979, 2n Cycle, Single, 88194.0, 688, 14, 1, 10
1513, 1979, 2n Cycle, Together, 60839.0, 600, 21, 13, 2
10552, 1979, 2n Cycle, Married, 54210.0, 70, 54, 2, 1
922, 1979, 2n Cycle, Married, 31086.0, 16, 2, 2, 1
8812, 1979, 2n Cycle, Divorced, 13533.0, 12, 3, 2, 0
3878, 1980, 2n Cycle, Single, 31859.0, 3, 4, 1, 0
6815, 1980, 2n Cycle, Married, 96547.0, 448, 21, 0, 6
6131, 1980, 2n Cycle, Married, 70829.0, 141, 70, 2, 2
176, 1980, 2n Cycle, Single, 67506.0, 90, 38, 1, 1
8213, 1980, 2n Cycle, Together, 14515.0, 6, 4, 4, 2
10856, 1980, 2n Cycle, Single, 45889.0, 31, 0, 1, 0
11003, 1980, 2n Cycle, Together, 25130.0, 2, 5, 2, 0
738, 1981, 2n Cycle, Single, 42395.0, 48, 13, 4, 1
8017, 1981, 2n Cycle, Married, 51111.0, 22, 0, 2, 0
10270, 1981, 2n Cycle, Married, 35523.0, 11, 5, 2, 0
9984, 1981, 2n Cycle, Married, 56337.0, 349, 16, 5, 5
10398, 1981, 2n Cycle, Single, 24336.0, 1, 6, 1, 0
3102, 1981, 2n Cycle, Together, 19414.0, 2, 3, 1, 0
762, 1981, 2n Cycle, Together, 75774.0, 340, 21, 1, 5
3091, 1981, 2n Cycle, Together, 75774.0, 340, 21, 1, 5
87, 1981, 2n Cycle, Married, 27733.0, 0, 7, 2, 0
7301, 1982, 2n Cycle, Single, 23616.0, 4, 22, 2, 0
3139, 1982, 2n Cycle, Single, 74116.0, 871, 111, 1, 4
1328, 1982, 2n Cycle, Married, 57937.0, 261, 42, 3, 4
75, 1982, 2n Cycle, Together, 41039.0, 34, 11, 1, 1
5120, 1982, 2n Cycle, Together, 66664.0, 398, 96, 1, 7
5782, 1982, 2n Cycle, Together, 58582.0, 402, 35, 2, 2
10648, 1982, 2n Cycle, Together, 66664.0, 398, 96, 1, 7
8933, 1983, 2n Cycle, Married, 32146.0, 26, 3, 2, 0
1524, 1983, 2n Cycle, Single, 81698.0, 709, 45, 1, 2
5680, 1984, 2n Cycle, Married, 35684.0, 10, 4, 1, 0
1241, 1984, 2n Cycle, Married, 14796.0, 13, 3, 2, 0
9262, 1984, 2n Cycle, Together, 32414.0, 20, 6, 1, 0
2681, 1984, 2n Cycle, Married, 65370.0, 71, 22, 1, 3
8779, 1985, 2n Cycle, Married, 36145.0, 56, 4, 4, 1
10001, 1985, 2n Cycle, Together, 7500.0, 5, 17, 4, 1
1878, 1985, 2n Cycle, Married, 23148.0, 4, 6, 1, 0
2278, 1985, 2n Cycle, Single, 33812.0, 4, 17, 2, 1
6437, 1985, 2n Cycle, Single, 41473.0, 21, 8, 1, 0
456, 1986, 2n Cycle, Married, 7500.0, 1, 11, 2, 0
4328, 1986, 2n Cycle, Married, 21955.0, 5, 1, 2, 1
10245, 1986, 2n Cycle, Single, 80910.0, 160, 80, 1, 3
2518, 1986, 2n Cycle, Together, 20491.0, 5, 4, 1, 1
9612, 1987, 2n Cycle, Single, 23830.0, 1, 8, 1, 0
6365, 1987, 2n Cycle, Married, 30390.0, 10, 12, 1, 0
3745, 1988, 2n Cycle, Married, 23331.0, 5, 36, 2, 0
10995, 1988, 2n Cycle, Married, 15716.0, 16, 5, 3, 0
9771, 1988, 2n Cycle, Single, 23331.0, 104, 20, 6, 1
1755, 1988, 2n Cycle, Together, 45204.0, 30, 11, 1, 1
2874, 1988, 2n Cycle, Divorced, 35388.0, 6, 4, 1, 0
3559, 1988, 2n Cycle, Married, 16248.0, 12, 11, 3, 1
1031, 1989, 2n Cycle, Married, 85710.0, 600, 20, 1, 9
8789, 1989, 2n Cycle, Married, 59060.0, 35, 40, 3, 1
4271, 1989, 2n Cycle, Together, 38683.0, 46, 35, 6, 1
5987, 1989, 2n Cycle, Together, 10404.0, 2, 2, 2, 0
4656, 1990, 2n Cycle, Single, 51250.0, 342, 32, 5, 5
8541, 1990, 2n Cycle, Married, 24683.0, 8, 4, 2, 0
10343, 1991, 2n Cycle, Single, 61618.0, 605, 91, 2, 6
4712, 1991, 2n Cycle, Together, 20193.0, 8, 8, 1, 1
2802, 1992, 2n Cycle, Married, 87000.0, 196, 25, 1, 6
4427, 1995, 2n Cycle, Single, 83257.0, 536, 27, 1, 10
3661, 1995, 2n Cycle, Single, 80617.0, 594, 51, 1, 6
9909, 1996, 2n Cycle, Married, 7500.0, 3, 18, 3, 1
1740, 1944, Graduation, Married, 55956.0, 760, 38, 2, 3
466, 1944, Graduation, Married, 65275.0, 388, 14, 1, 3
4310, 1944, Graduation, Married, 80589.0, 507, 93, 1, 10
819, 1945, Graduation, Widow, 63285.0, 508, 124, 1, 5
10711, 1945, Graduation, Married, 69755.0, 217, 77, 1, 6
5029, 1946, Graduation, Married, 18100.0, 3, 1, 1, 0
8652, 1946, Graduation, Together, 37760.0, 84, 5, 2, 1
1577, 1946, Graduation, Married, 78569.0, 558, 79, 1, 6
1553, 1946, Graduation, Together, 82657.0, 966, 168, 1, 5
4939, 1946, Graduation, Together, 37760.0, 84, 5, 2, 1
6203, 1947, Graduation, Together, 74485.0, 499, 149, 1, 7
10814, 1947, Graduation, Together, 70321.0, 303, 23, 1, 5
7990, 1947, Graduation, Married, 27469.0, 9, 1, 1, 0
6963, 1947, Graduation, Single, 77457.0, 675, 11, 1, 5
4137, 1948, Graduation, Together, 70666.0, 398, 40, 1, 4
10486, 1948, Graduation, Married, 77142.0, 476, 75, 1, 4
6103, 1948, Graduation, Married, 42192.0, 40, 15, 1, 1
5147, 1948, Graduation, Single, 90842.0, 774, 70, 1, 9
10909, 1948, Graduation, Married, 92344.0, 992, 24, 0, 10
10341, 1948, Graduation, Together, 51315.0, 68, 28, 1, 2
8537, 1949, Graduation, Widow, 72643.0, 526, 80, 1, 10
10240, 1949, Graduation, Together, 69372.0, 997, 26, 1, 4
7875, 1949, Graduation, Married, 72025.0, 967, 0, 1, 8
2406, 1949, Graduation, Together, 54591.0, 376, 4, 3, 2
10972, 1949, Graduation, Widow, 72298.0, 625, 35, 1, 3
2066, 1949, Graduation, Together, 38823.0, 70, 0, 1, 1
7851, 1949, Graduation, Widow, 70165.0, 161, 0, 1, 7
3578, 1949, Graduation, Divorced, 49160.0, 122, 21, 2, 1
4186, 1950, Graduation, Together, 34026.0, 18, 6, 3, 1
3503, 1950, Graduation, Divorced, 82460.0, 255, 47, 1, 3
8783, 1950, Graduation, Married, 57045.0, 296, 13, 3, 2
3479, 1950, Graduation, Single, 16813.0, 4, 8, 1, 0
9135, 1950, Graduation, Together, 27203.0, 13, 2, 2, 1
5138, 1950, Graduation, Together, 28320.0, 19, 1, 1, 0
9119, 1950, Graduation, Together, 60905.0, 208, 17, 2, 3
5718, 1950, Graduation, Married, 80763.0, 674, 168, 1, 11
1419, 1950, Graduation, Together, 34026.0, 18, 6, 3, 1
359, 1950, Graduation, Together, 48070.0, 373, 14, 3, 2
10061, 1950, Graduation, Married, 59462.0, 724, 17, 2, 2
9617, 1951, Graduation, Single, 15033.0, 0, 4, 1, 0
255, 1951, Graduation, Divorced, 22263.0, 17, 0, 2, 0
626, 1951, Graduation, Married, 32871.0, 22, 2, 1, 0
6200, 1951, Graduation, Married, 75903.0, 340, 108, 2, 6
123, 1951, Graduation, Widow, 67046.0, 544, 35, 2, 5
8397, 1951, Graduation, Married, 44689.0, 18, 0, 2, 1
6721, 1951, Graduation, Married, 71965.0, 572, 19, 3, 3
3828, 1951, Graduation, Married, 71107.0, 533, 10, 2, 6
5314, 1951, Graduation, Together, 40689.0, 270, 3, 7, 1
3334, 1951, Graduation, Married, 94642.0, 879, 143, 0, 7
640, 1951, Graduation, Married, 57304.0, 356, 80, 2, 6
7397, 1951, Graduation, Single, 49090.0, 494, 5, 3, 2
9697, 1951, Graduation, Married, 53790.0, 335, 42, 3, 2
10057, 1951, Graduation, Single, 72282.0, 503, 27, 1, 7
1964, 1951, Graduation, Together, 86610.0, 446, 107, 1, 6
236, 1951, Graduation, Married, 34838.0, 28, 23, 3, 1
10868, 1951, Graduation, Widow, 70792.0, 344, 45, 2, 4
113, 1951, Graduation, Married, 30833.0, 11, 0, 2, 0
1409, 1951, Graduation, Together, 40689.0, 270, 3, 7, 1
6991, 1951, Graduation, Divorced, 43185.0, 537, 6, 2, 3
3434, 1951, Graduation, Single, 80872.0, 483, 72, 1, 4
5872, 1951, Graduation, Single, 60689.0, 240, 90, 4, 4
8026, 1952, Graduation, Married, 62998.0, 120, 58, 5, 4
8534, 1952, Graduation, Married, 67433.0, 615, 28, 4, 5
6945, 1952, Graduation, Single, 84574.0, 387, 20, 1, 11
7300, 1952, Graduation, Divorced, 69142.0, 448, 4, 3, 1
1012, 1952, Graduation, Single, 61823.0, 523, 7, 4, 2
10323, 1952, Graduation, Married, 49413.0, 205, 7, 2, 2
550, 1952, Graduation, Divorced, 62335.0, 243, 131, 2, 3
2173, 1952, Graduation, Widow, 40049.0, 13, 6, 1, 0
4796, 1952, Graduation, Divorced, 49638.0, 18, 10, 1, 0
8692, 1952, Graduation, Together, 43462.0, 90, 17, 6, 1
241, 1952, Graduation, Together, 83844.0, 901, 31, 1, 4
4843, 1952, Graduation, Single, 75127.0, 203, 35, 1, 11
4508, 1952, Graduation, Single, 75127.0, 203, 35, 1, 11
1497, 1952, Graduation, Single, 47958.0, 268, 11, 2, 3
3560, 1952, Graduation, Together, 83844.0, 901, 31, 1, 4
286, 1952, Graduation, Single, 44213.0, 95, 11, 4, 1
3515, 1952, Graduation, Single, 62307.0, 87, 13, 1, 0
9292, 1952, Graduation, Married, 81795.0, 324, 132, 1, 11
9905, 1952, Graduation, Together, 34074.0, 135, 1, 5, 3
709, 1952, Graduation, Divorced, 51537.0, 787, 20, 3, 2
3308, 1952, Graduation, Married, 35704.0, 30, 9, 3, 0
1411, 1952, Graduation, Divorced, 82623.0, 204, 34, 1, 9
7521, 1952, Graduation, Together, 83844.0, 901, 31, 1, 4
4507, 1952, Graduation, Single, 72228.0, 631, 28, 1, 7
1050, 1952, Graduation, Married, 28332.0, 14, 10, 1, 1
2134, 1952, Graduation, Single, 53700.0, 263, 5, 4, 5
7540, 1952, Graduation, Married, 50300.0, 143, 15, 2, 1
3517, 1952, Graduation, Single, 40887.0, 50, 4, 3, 1
10983, 1952, Graduation, Together, 75278.0, 304, 98, 1, 3
5967, 1952, Graduation, Together, 33402.0, 26, 2, 3, 1
1857, 1952, Graduation, Single, 47139.0, 46, 0, 2, 1
9265, 1953, Graduation, Married, 75027.0, 925, 64, 2, 4
6246, 1953, Graduation, Single, 73892.0, 703, 102, 1, 11
2534, 1953, Graduation, Married, 37716.0, 97, 1, 2, 1
4789, 1953, Graduation, Together, 80812.0, 769, 22, 1, 8
4690, 1953, Graduation, Married, 50725.0, 443, 10, 4, 1
2564, 1953, Graduation, Together, 61278.0, 111, 3, 2, 1
4943, 1953, Graduation, Married, 70503.0, 1379, 33, 1, 4
153, 1953, Graduation, Divorced, 23272.0, 19, 3, 1, 0
7284, 1953, Graduation, Married, 48686.0, 10, 0, 1, 0
6382, 1953, Graduation, Together, 48794.0, 25, 0, 1, 0
11091, 1953, Graduation, Together, 34587.0, 7, 2, 2, 0
5863, 1953, Graduation, Married, 47703.0, 359, 0, 4, 3
6024, 1953, Graduation, Together, 94384.0, 1111, 24, 0, 8
6825, 1953, Graduation, Together, 41452.0, 13, 0, 1, 0
5386, 1953, Graduation, Together, 94384.0, 1111, 24, 0, 8
2379, 1953, Graduation, Single, 69267.0, 778, 44, 2, 4
9197, 1953, Graduation, Married, 39722.0, 32, 0, 2, 0
10573, 1953, Graduation, Divorced, 62551.0, 125, 16, 1, 7
1044, 1953, Graduation, Together, 58398.0, 299, 5, 3, 4
2607, 1953, Graduation, Single, 40464.0, 424, 17, 6, 2
4945, 1953, Graduation, Widow, 53653.0, 815, 10, 2, 4
9955, 1954, Graduation, Together, 39898.0, 69, 8, 2, 0
2429, 1954, Graduation, Divorced, 72071.0, 531, 69, 3, 4
5407, 1954, Graduation, Together, 53103.0, 729, 17, 5, 6
9308, 1954, Graduation, Married, 62820.0, 398, 61, 1, 4
8545, 1954, Graduation, Divorced, 85683.0, 1296, 17, 1, 4
544, 1954, Graduation, Married, 62820.0, 398, 61, 1, 4
1640, 1954, Graduation, Divorced, 64587.0, 66, 0, 2, 1
3697, 1954, Graduation, Together, 39898.0, 69, 8, 2, 0
7453, 1954, Graduation, Single, 36130.0, 157, 43, 6, 8
9499, 1954, Graduation, Married, 93404.0, 1279, 15, 3, 4
7462, 1954, Graduation, Single, 22507.0, 68, 0, 3, 2
4828, 1954, Graduation, Divorced, 79865.0, 71, 99, 1, 10
4390, 1954, Graduation, Together, 75315.0, 459, 15, 2, 4
6521, 1954, Graduation, Together, 77972.0, 613, 22, 1, 6
6878, 1954, Graduation, Widow, 27421.0, 43, 12, 3, 1
380, 1954, Graduation, Divorced, 64497.0, 1170, 48, 5, 4
9916, 1954, Graduation, Married, 38998.0, 34, 1, 3, 0
2632, 1954, Graduation, Married, 50501.0, 297, 0, 7, 4
6422, 1954, Graduation, Married, 86718.0, 344, 189, 1, 6
9938, 1954, Graduation, Married, 80067.0, 519, 17, 1, 6
4333, 1954, Graduation, Together, 32144.0, 41, 0, 4, 1
5209, 1954, Graduation, Divorced, 50002.0, 443, 5, 2, 2
6730, 1954, Graduation, Married, 38998.0, 34, 1, 3, 0
2308, 1954, Graduation, Married, 46734.0, 110, 5, 2, 1
375, 1954, Graduation, Divorced, 76773.0, 516, 56, 1, 2
692, 1954, Graduation, Together, 36807.0, 4, 2, 1, 0
10177, 1954, Graduation, Divorced, 72071.0, 531, 69, 3, 4
10092, 1954, Graduation, Divorced, 70044.0, 1073, 0, 4, 10
4990, 1954, Graduation, Married, 59111.0, 524, 0, 1, 1
2174, 1954, Graduation, Single, 46344.0, 11, 1, 2, 1
3807, 1955, Graduation, Together, 59925.0, 473, 21, 3, 2
3799, 1955, Graduation, Married, 67225.0, 315, 35, 3, 2
10120, 1955, Graduation, Together, 38946.0, 116, 6, 2, 1
7002, 1955, Graduation, Single, 62535.0, 163, 48, 1, 2
